Namespace(gpu='0,1,2,3', log_dir='/cluster/home/wueestm/laser/trained_models', its=900000, fov=(45.0, 135.0), fov2='45,135', dataset='zind', dataset_path='/cluster/project/cvg/data/zind/zind/ZInD', D=128, G=32, H=32, dist_max=10, V=16, Vr=64, disable_semantics=False, disable_pointnet=False)
{'Q': 100, 'Q_refine': 20, 'D': 128, 'G': 32, 'H': 32, 'dist_max': 10, 'Vr': 64, 'V': 16, 'disable_semantics': False, 'disable_pointnet': False, 'fov': (45.0, 135.0), 'view_type': 'pview'}
/cluster/project/cvg/data/zind/zind/ZInD
refiner_padding = circular
Before loading train dataloader.
654 samples loaded from <class 'dataset.zind_dataset.ZindDataset'> dataset. (is_training=True)
Before loading val dataloader.
91 samples loaded from <class 'dataset.zind_dataset.ZindDataset'> dataset. (is_training=False)
Dataloaders loaded.
step=65000,  time=644.3min,  loss=0.808333
step=65200,  time=646.3min,  loss=0.970614
step=65400,  time=648.2min,  loss=0.911317
step=65600,  time=650.2min,  loss=1.067510
step=65800,  time=652.2min,  loss=0.846670
step=66000,  time=654.2min,  loss=1.029177
step=66200,  time=656.2min,  loss=1.161932
step=66400,  time=658.1min,  loss=1.431480
step=66600,  time=660.1min,  loss=0.996748
step=66800,  time=662.1min,  loss=1.100172
step=67000,  time=664.1min,  loss=1.020789
step=67200,  time=666.0min,  loss=0.969334
step=67400,  time=668.1min,  loss=0.924165
step=67600,  time=670.0min,  loss=1.181413
step=67800,  time=672.0min,  loss=0.940354
step=68000,  time=674.0min,  loss=0.878804
step=68200,  time=675.9min,  loss=0.925748
step=68400,  time=677.9min,  loss=0.953670
step=68600,  time=679.9min,  loss=0.877291
step=68800,  time=681.9min,  loss=0.852277
step=69000,  time=683.8min,  loss=0.885632
step=69200,  time=685.8min,  loss=0.990154
step=69400,  time=687.8min,  loss=0.820179
step=69600,  time=689.8min,  loss=0.876510
step=69800,  time=691.7min,  loss=0.912950
step=70000,  time=693.7min,  loss=0.869697
step=70200,  time=695.7min,  loss=0.813432
step=70400,  time=697.7min,  loss=0.969249
step=70600,  time=699.7min,  loss=0.907025
step=70800,  time=701.7min,  loss=0.915122
step=71000,  time=703.6min,  loss=0.819830
step=71200,  time=705.7min,  loss=0.967681
step=71400,  time=707.6min,  loss=0.938804
step=71600,  time=709.6min,  loss=1.128690
step=71800,  time=711.6min,  loss=0.972401
step=72000,  time=713.5min,  loss=0.919813
step=72200,  time=715.5min,  loss=0.964638
step=72400,  time=717.5min,  loss=0.899468
step=72600,  time=719.5min,  loss=0.921901
step=72800,  time=721.5min,  loss=0.983342
step=73000,  time=723.5min,  loss=0.815853
step=73200,  time=725.5min,  loss=0.997024
step=73400,  time=727.5min,  loss=0.929763
step=73600,  time=729.4min,  loss=0.898680
step=73800,  time=731.4min,  loss=0.928918
step=74000,  time=733.4min,  loss=0.973838
step=74200,  time=735.4min,  loss=1.075890
step=74400,  time=737.4min,  loss=1.142445
step=74600,  time=739.3min,  loss=0.859770
step=74800,  time=741.3min,  loss=1.033596
step=75000,  time=743.3min,  loss=1.238682
step=75200,  time=745.3min,  loss=0.856264
step=75400,  time=747.3min,  loss=0.935490
step=75600,  time=749.3min,  loss=1.047575
step=75800,  time=751.2min,  loss=0.915833
step=76000,  time=753.2min,  loss=0.986912
step=76200,  time=755.2min,  loss=1.053601
step=76400,  time=757.2min,  loss=1.023340
step=76600,  time=759.2min,  loss=0.933836
step=76800,  time=761.2min,  loss=0.787013
step=77000,  time=763.1min,  loss=1.005596
step=77200,  time=765.1min,  loss=1.140773
step=77400,  time=767.1min,  loss=1.015028
step=77600,  time=769.1min,  loss=0.972838
step=77800,  time=771.0min,  loss=0.965551
step=78000,  time=773.0min,  loss=0.899019
step=78200,  time=775.0min,  loss=0.907917
step=78400,  time=777.0min,  loss=0.897637
step=78600,  time=779.0min,  loss=0.891640
step=78800,  time=780.9min,  loss=0.913154
step=79000,  time=782.9min,  loss=1.273770
step=79200,  time=784.9min,  loss=1.080301
step=79400,  time=786.9min,  loss=0.991528
step=79600,  time=788.9min,  loss=0.840927
step=79800,  time=790.9min,  loss=1.312083
step=80000,  time=792.8min,  loss=0.875411
Model ckpt saved.
step=80200,  time=794.9min,  loss=0.948861
step=80400,  time=796.8min,  loss=0.983974
step=80600,  time=798.8min,  loss=0.862868
step=80800,  time=800.8min,  loss=0.834018
step=81000,  time=802.7min,  loss=1.041181
step=81200,  time=804.7min,  loss=1.235152
step=81400,  time=806.7min,  loss=0.879137
step=81600,  time=808.7min,  loss=0.887901
step=81800,  time=810.7min,  loss=1.361426
step=82000,  time=812.7min,  loss=0.916391
step=82200,  time=814.6min,  loss=0.880975
step=82400,  time=816.6min,  loss=0.848991
step=82600,  time=818.6min,  loss=0.859457
step=82800,  time=820.6min,  loss=0.842612
step=83000,  time=822.5min,  loss=1.025715
step=83200,  time=824.6min,  loss=0.831530
step=83400,  time=826.5min,  loss=0.888143
step=83600,  time=828.5min,  loss=0.867901
